"","users","evcent","in.degree","out.degree","total.degree","betweenness","transitivity","coreness","turnover","p","n","s","n.pull","n.issue","n.issue.c","n.pull.c","n.commit","n.interactions"
"97",83234,0.014526353890093,29,29,29,27.9178054995672,0.891625615763547,27,TRUE,0,0,0,2,0,0,1,14,17
"98",221133,0.00938060980822796,8,8,8,0,1,8,FALSE,0,0,0,1,0,0,0,0,1
"99",14490,0.0130778587959446,23,23,23,606.521201138911,0.735177865612648,19,TRUE,0,0,0,2,1,2,0,0,5
"100",2077,0.00216841786449127,2,2,2,11.0942727340785,0,2,TRUE,0,0,0,3,0,0,0,2,5
"101",40619,0.0148924966685575,14,14,14,358.227506715708,0.681318681318681,10,TRUE,0,0,0,4,0,0,11,7,22
"102",6991,0.00196978332775552,1,1,1,0,NaN,1,TRUE,0,0,0,4,0,0,0,4,8
"103",8951,0.00286321693423746,3,3,3,0,1,3,TRUE,0,0,0,1,1,0,3,0,5
"104",317489,0.00560938645927937,7,7,7,0,1,7,FALSE,0,0,0,1,0,0,0,0,1
"105",14214,0,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"106",412101,0.00302213334730204,2,2,2,0,1,2,TRUE,0,0,0,3,0,0,1,1,5
"107",3668,0.0245403533005728,17,17,17,5716.45751273819,0.5,12,TRUE,0,0,0,8,8,14,2,3,35
"108",251723,0.00355002711741992,3,3,3,0,1,3,TRUE,0,0,0,4,0,0,1,0,5
"109",67093,0.00468840598414136,5,5,5,261.423549370993,0.6,4,FALSE,0,0,0,4,0,2,2,1,9
"110",186424,0.0182974051092118,20,20,20,542.784504263398,0.468421052631579,13,TRUE,0,0,0,5,0,1,8,4,18
"111",207112,0.0554868244013616,91,91,91,10652.3559320103,0.355555555555556,44,TRUE,0,0,0,1,1,5,5,3,15
"112",78237,0.0101220817980232,35,35,35,149.876346628493,0.956302521008403,34,FALSE,0,0,0,6,0,0,1,0,7
"113",5042,0.0175077041505556,17,17,17,2336.40481283715,0.404411764705882,11,FALSE,0,0,0,13,1,4,13,39,70
"114",76936,0.00182551038342374,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"115",136796,0.0144059879284287,19,19,19,306.251046807989,0.637426900584795,13,FALSE,0,0,0,2,0,1,17,0,20
"116",12692,0.0360310297277278,69,69,69,6037.52775041697,0.346547314578005,34,TRUE,0,0,0,2,0,3,6,1,12
"117",68126,0.00196978332775552,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,2,3
"118",27055,0.00238294429775203,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,1,0,2
"119",27211,0.0092973290639514,9,9,9,310.96314331794,0.861111111111111,8,FALSE,0,0,0,1,0,1,1,0,3
"120",101456,0.0221483656856365,15,15,15,185.22446161891,0.6,12,TRUE,0,0,0,3,0,0,4,1,8
"121",60826,0.0011966229638783,1,1,1,0,NaN,1,FALSE,0,0,0,1,1,0,0,0,2
"122",3948,0.207023333671589,676,676,676,636627.423975408,0.0297129081744466,50,TRUE,0,0,0,477,2,332,392,452,1655
"123",48270,0.0108580292455828,9,9,9,180.658439742329,0.555555555555556,8,TRUE,0,0,0,1,0,6,0,0,7
"124",52712,0.000307673247201679,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,0,4,6
"125",9347,0.18186801144098,590,590,590,456561.398139124,0.0357399787056488,38,TRUE,0,0,0,75,5,195,174,73,522
"126",107800,0.00182551038342374,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"127",102931,0.0116740154544889,17,17,17,84.876692502845,0.889705882352941,15,TRUE,0,0,0,1,0,0,9,77,87
"128",49391,0.0364435949708448,52,52,52,2776.70640224416,0.469079939668175,27,TRUE,0,0,0,5,0,9,15,10,39
"129",31292,0.00280098082371309,3,3,3,0,1,3,FALSE,0,0,0,2,0,0,0,2,4
"130",657807,0.0011966229638783,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,1,1,4
"131",524783,0.0054300620727196,7,7,7,207.813510907717,0.619047619047619,6,TRUE,0,0,0,4,0,1,4,12,21
"132",25736,0.00242231015676878,4,4,4,0,1,4,FALSE,0,0,0,1,0,0,0,0,1
"133",66961,0.00305683607148008,2,2,2,0,1,2,FALSE,0,0,0,3,0,0,0,2,5
"134",14761,0,0,0,0,0,NaN,0,TRUE,0,0,0,1,0,0,1,26,28
"135",14482,0.00731386669507758,8,8,8,4448.27216153477,0.607142857142857,6,TRUE,0,0,0,4,0,0,7,4,15
"136",120708,0.0154080714868062,10,10,10,6.12302497980488,0.933333333333333,10,TRUE,0,0,0,2,0,0,4,0,6
"137",1032,0.0204301168227669,31,31,31,311.650967128747,0.939784946236559,30,TRUE,0,0,0,1,1,4,0,0,6
"138",39493,0.000643692598099553,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,0,1,3
"139",94665,0.00182551038342375,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"140",418980,0.00644614932348866,6,6,6,213.245396976299,0.733333333333333,5,FALSE,0,0,0,1,0,1,1,0,3
"141",36390,0.024800913790755,11,11,11,46.539665001881,0.836363636363636,9,TRUE,0,0,0,2,2,2,0,0,6
"142",5226,0,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,1,2,4
"143",6528,0.0179347621630981,15,15,15,1171.69310721421,0.533333333333333,12,TRUE,0,0,0,15,0,0,15,18,48
"144",83466,0.00776712648202002,11,11,11,50.5022243449397,0.927272727272727,10,FALSE,0,0,0,3,0,0,2,3,8
"145",8701,0.0441867251131122,37,37,37,7410.79418758806,0.493993993993994,26,TRUE,0,0,0,49,1,5,30,116,201
"146",12178,0.0106104297432225,8,8,8,354.40358985552,0.678571428571429,6,TRUE,0,0,0,1,1,9,1,2,14
"147",43236,0.00364317987817888,8,8,8,60.3918345541968,0.714285714285714,8,TRUE,0,0,0,1,0,0,5,0,6
"148",2381,0.0504669411995085,79,79,79,4367.62341252187,0.576111652061019,56,FALSE,0,0,0,17,3,7,15,24,66
"149",59744,0.114856675474532,234,234,234,66737.5856801327,0.0940537764572099,34,TRUE,0,0,0,135,15,46,45,384,625
"150",160941,0.891686587161856,775,775,775,527434.124062488,0.0580111694590314,142,TRUE,0,0,0,192,5,287,268,757,1509
"151",29251,0.0208061629742036,11,11,11,132.53455714684,0.654545454545455,8,TRUE,0,0,0,2,2,3,1,0,8
"152",349501,0.000643692598099554,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,1,4,6
"153",83449,0.0314268353411086,36,36,36,6396.03953177023,0.384126984126984,25,TRUE,0,0,0,24,1,2,21,148,196
