"","users","evcent","in.degree","out.degree","total.degree","betweenness","transitivity","coreness","turnover","p","n","s","n.pull","n.issue","n.issue.c","n.pull.c","n.commit","n.interactions"
"108",9287,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"109",1121581,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"110",289331,0.0456724264753226,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,2,0,3
"111",46173,0.0436775660512269,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,0,0,1
"112",608502,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"113",255672,0.0644200382588795,7,7,7,14.6666666666667,0.761904761904762,6,TRUE,0,0,0,2,0,0,3,2,7
"114",1120328,0.054184419743423,3,3,3,0,1,3,FALSE,0,0,0,2,0,0,2,0,4
"115",2431570,0.0460075307158311,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,2,0,3
"116",32314,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"117",5453,0.0456724264753226,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,1,0,2
"118",1469593,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"119",521186,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,3,0,4
"120",1428425,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"121",4790,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"122",189038,0.0719680819134011,11,11,11,0,1,11,TRUE,0,0,0,1,0,0,8,0,9
"123",1128607,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"124",336266,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"125",1201248,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"126",75317,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"127",1379069,0.0504496851103849,5,5,5,0,1,5,FALSE,0,0,0,1,0,0,1,0,2
"128",351828,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"129",145272,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,2,3,6
"130",591833,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,1,2
"131",3012429,0.0115125324885689,4,4,4,0,1,4,TRUE,0,0,0,1,0,0,4,0,5
"132",1355481,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,9,3,13
